ind code,name
367,Tobacco manufacturing [BS31220]
1,Accommodation and food services [BS72000]
307,Railroad rolling stock manufacturing [BS33650]
178,Monetary authorities - central bank [BS521000]
211,Non-store retailers [BS454000]
115,Forestry and logging [BS11300]
121,Funeral services [BS812200]
365,Textile and textile product mills [BS31A00]
139,Hospitals [GS622000]
166,Medical equipment and supplies manufacturing [BS339100]
124,Gambling industries [BS713200]
289,Plastic product manufacturing [BS32610]
135,Health care and social assistance [BS62000]
16,Ambulatory health care services [NP621000]
345,Sound recording industries [BS512200]
241,Other federal government services [GS91100]
291,Postal service couriers and messengers [BS49A000]
372,Transportation engineering construction [BS23C10]
109,Fishing hunting and trapping [BS11400]
266,Owner occupied dwellings [BS53C]
176,Miscellaneous non-profit institutions serving households [NPA0000]
199,Newspaper periodical book and directory publishers [BS511100]
72,Crop and animal production (except cannabis) [BS11B00]
297,Private households [BS814000]
144,Industrial commercial and machinery manufacturing [BS333A00]
186,Motor vehicle brake system manufacturing [BS336340]
40,Building material and supplies merchant wholesalers [BS416000]
198,Natural gas distribution water sewage and other systems [BS221A0]
27,Arts entertainment and recreation [NP710000]
292,Postal service couriers and messengers [BS49A00]
213,Nursing and residential care facilities [GS623000]
276,Personal services and private households [BS81A00]
274,Personal and household goods merchant wholesalers [BS414000]
362,Taxi and limousine service [BS485300]
105,Farm product merchant wholesalers [BS411000]
101,Engine turbine and power transmission equipment [BS333600]
114,Forestry and logging [BS113000]
242,Other federal government services [GS911]
79,Data processing hosting and related services [BS518000]
287,Pipeline transportation of natural gas [BS486200]
130,Grain and oilseed milling [BS311200]
240,Other federal government services (except defence) [GS911A00]
294,Primary metal manufacturing [BS33100]
363,Telecommunications [BS517000]
20,Animal production (except aquaculture) [BS112A00]
50,Cannabis stores (unlicensed) [BS453BU]
370,Transportation and warehousing [BS4B0]
305,Rail transportation [BS48200]
267,Owner-occupied dwellings [BS5311A0]
354,Support activities for agriculture and forestry [BS115]
143,Household appliance manufacturing [BS33520]
99,Elementary and secondary schools [GS611100]
67,Computer systems design and related services [BS541500]
388,Water transportation [BS483000]
193,Motor vehicle parts manufacturing [BS33630]
175,Miscellaneous non-profit institutions serving households [NPA00000]
369,Transit ground passenger and scenic and sightseeing [BS48B00]
283,Petroleum refineries [BS324110]
142,Household appliance manufacturing [BS335200]
133,Hardware manufacturing [BS332500]
225,Oil sands extraction [BS211140]
327,Rubber product manufacturing [BS326200]
226,Other aboriginal government services [GS914000]
325,Retail trade (except cannabis) [BS4AA00]
71,Couriers and messengers [BS492000]
296,Printing and related support activities [BS32300]
380,Utilities [BS220]
228,Other aboriginal government services [GS914]
48,Cannabis production (unlicensed) [BS111CU]
314,Repair and maintenance (except automotive) [BS811A00]
145,Industrial machinery manufacturing [BS333200]
165,Meat product manufacturing [BS31160]
262,Other transit and ground passenger transportation [BS48A000]
239,Other federal government services (except defence) [GS911A00]
4,Activities related to credit intermediation [BS522300]
377,Universities [GS611300]
303,Radio and television broadcasting [BS51510]
75,Crude oil and other pipeline transportation [BS486A00]
230,Other activities of the construction industry [BS23E00]
383,Warehousing and storage [BS493000]
76,Cutlery hand tools [BS332A00]
188,Motor vehicle gasoline engine and engine parts [BS336310]
394,Wineries and distilleries [BS3121A]
86,Educational services [BS61000]
278,Pesticide fertilizer and other agricultural chemical [BS32530]
265,Other wood product manufacturing [BS321900]
89,Educational services [NP61000]
95,Electrical equipment and component manufacturing [BS335A0]
96,Electrical equipment manufacturing [BS335300]
100,Employment services [BS561300]
195,Motor vehicle steering and suspension components [BS336330]
358,Support activities for mining and oil and gas extraction [BS213000]
238,Other engineering construction [BS23C50]
17,Amusement and recreation industries [BS713A00]
311,Rental and leasing services (except automotive equipment) [BS532A00]
279,Petroleum and coal product manufacturing (except refineries) [BS3241A0]
351,Sugar and confectionery product manufacturing [BS311300]
338,Soap cleaning compound and toilet preparation manufacturing [BS325600]
196,Motor vehicle transmission and power train parts [BS336350]
350,Stone mining and quarrying [BS212310]
54,Clothing and leather and allied product manufacturing [BS31B000]
250,Other motor vehicle parts manufacturing [BS336390]
90,Electric lighting equipment manufacturing [BS335100]
85,Educational services [BS610000]
341,Social assistance [NP62400]
156,Lessors of real estate [BS531100]
231,Other activities of the construction industry [BS23E]
378,Universities [GS61130]
258,Other provincial and territorial government services [GS912000]
83,Dry cleaning and laundry services [BS812300]
94,Electric power generation transmission and distribution [BS22110]
21,Animal production and aquaculture [BS112000]
158,Local credit unions [BS522130]
149,Investigation and security services [BS561600]
371,Transportation engineering construction [BS23C100]
42,Business professional and other membership organizations [BS81300]
318,Repair construction [BS23D]
373,Travel arrangement and reservation services [BS561500]
271,Pay and specialty television telecommunications [BS51A000]
7,Advertising public relations and related services [BS541800]
173,Miscellaneous manufacturing [BS33900]
151,Iron ore mining [BS212210]
286,Pipeline transportation [BS48600]
117,Forging and stamping [BS332100]
245,Other furniture-related product manufacturing [BS337900]
255,Other non-profit institutions serving households [NP999999]
181,Motion picture and video industries (except exhibition) [BS5121A0]
32,Bakeries and tortilla manufacturing [BS311800]
98,Electronics and appliance stores [BS443000]
46,Cannabis production (licensed) [BS111CL]
73,Crop and animal production [BS11A]
346,Specialized design services [BS541400]
11,Agencies brokerages and other insurance related activities [BS524200]
174,Miscellaneous merchant wholesalers [BS418000]
222,Oil and gas extraction (except oil sands) [BS211110]
33,Banking and other depository credit intermediation [BS5221A0]
334,Semiconductor and other electronic component manufacturing [BS334400]
82,Diamond mining [BS212392]
2,Accommodation and food services [BS720]
146,Information and cultural industries [BS510]
391,Wholesale trade [BS41000]
263,Other transportation equipment manufacturing [BS336900]
223,Oil and gas extraction [BS211000]
39,Building material and garden equipment and supplies dealers [BS444000]
87,Educational services [BS610]
63,Community colleges and C.E.G.E.P.s [GS611200]
138,Holding companies [BS551113]
184,Motor vehicle body and trailer manufacturing [BS336200]
187,Motor vehicle electrical and electronic equipment [BS336320]
171,Miscellaneous chemical product manufacturing [BS325C0]
268,Owner-occupied dwellings [BS5311A]
26,Arts entertainment and recreation [BS710]
214,Nursing and residential care facilities [GS62300]
140,Hospitals [GS62200]
382,Ventilation heating air-conditioning [BS333400]
347,Sporting goods hobby book and music stores [BS451000]
244,Other food manufacturing [BS311900]
243,Other finance insurance and real estate services [BS5A000]
366,Tobacco manufacturing [BS312200]
219,Offices of real estate agents and brokers [BS531A00]
344,Software publishers [BS511200]
207,Non-profit institutions serving households [NP000]
293,Potash mining [BS212396]
155,Lessors of non-financial intangible assets [BS533000]
356,Support activities for forestry [BS115300]
150,Iron and steel mills and ferro-alloy manufacturing [BS331100]
384,Warehousing and storage [BS49300]
23,Architectural and structural metals manufacturing [BS332300]
355,Support activities for crop and animal production [BS115A00]
381,Veneer plywood and engineered wood product manufacturing [BS321200]
315,Repair and maintenance [BS81100]
19,Animal food manufacturing [BS31110]
3,Accounting tax preparation bookkeeping and payroll services [BS541200]
126,General merchandise stores [BS452000]
103,Fabricated metal product manufacturing [BS33200]
148,Insurance carriers [BS52410]
70,Copper nickel lead and zinc ore mining [BS212230]
180,Motion picture and video exhibition [BS512130]
107,Financial investment services funds [BS52A000]
264,Other transportation equipment manufacturing [BS33690]
14,Air transportation [BS48100]
153,Legal accounting and related services [BS541A00]
201,Non-depository credit intermediation [BS522200]
224,Oil and gas extraction [BS21100]
88,Educational services [NP610000]
123,Furniture and related product manufacturing [BS33700]
306,Railroad rolling stock manufacturing [BS336500]
353,Support activities for agriculture and forestry [BS11500]
319,Residential building construction [BS23A000]
360,Support activities for oil and gas extraction [BS21311A]
131,Grant-making civic and professional and similar [NP813A00]
326,Retail trade [BS4A0]
55,Clothing and leather and allied product manufacturing [BS31B00]
132,Greenhouse nursery and floriculture production [BS1114A0]
237,Other engineering construction [BS23C500]
80,Defence services [GS911100]
111,Food and beverage stores [BS445000]
157,Lessors of real estate [BS53110]
93,Electric power generation transmission and distribution [BS221100]
393,Wineries and distilleries [BS3121A0]
298,Professional scientific and technical services [BS540]
127,Gold and silver ore mining [BS212220]
395,Wood product manufacturing [BS32100]
125,Gasoline stations [BS447000]
104,Facilities and other support services [BS561A00]
386,Waste management and remediation services [BS56200]
185,Motor vehicle body and trailer manufacturing [BS33620]
65,Computer and peripheral equipment manufacturing [BS33410]
44,Business-to-business electronic markets and agents [BS419000]
106,Finance insurance real estate rental and leasing companies [BS5B0]
234,Other educational services [GS611A00]
321,Residential building construction [BS23A]
9,Aerospace product and parts manufacturing [BS336400]
91,Electric power engineering construction [BS23C300]
273,Periodical book and directory publishers [BS5111A0]
323,Resin synthetic rubber and fibres and paint manufacturing [BS325B00]
302,Radio and television broadcasting [BS515100]
28,Arts entertainment and recreation [NP71000]
74,Crop production [BS111A00]
247,Other information services [BS519000]
22,Aquaculture [BS112500]
330,Sawmills and wood preservation [BS321100]
227,Other aboriginal government services [GS91400]
301,Pulp paper and paperboard mills [BS32210]
236,Other electronic product manufacturing [BS334A00]
343,Soft drink and ice manufacturing [BS31211]
6,Administrative and support waste management [BS560]
328,Rubber product manufacturing [BS32620]
253,Other municipal government services [GS913]
37,Breweries [BS312120]
342,Soft drink and ice manufacturing [BS312110]
257,Other professional scientific research and development [BS541B00]
58,Coating engraving cold and heat treating [BS332800]
13,Air transportation [BS481000]
364,Textile and textile product mills [BS31A000]
216,Office furniture (including fixtures) manufacturing [BS337200]
81,Depository credit intermediation and monetary authorities [BS52B00]
119,Fruit and vegetable preserving [BS311400]
191,Motor vehicle metal stamping [BS336370]
232,Other administrative and support services [BS561B00]
249,Other miscellaneous manufacturing [BS339900]
69,Converted paper product manufacturing [BS32220]
285,Pharmaceutical and medicine manufacturing [BS32540]
282,Petroleum and petroleum products merchant wholesalers [BS412000]
30,Automotive equipment rental and leasing [BS532100]
62,Communications equipment manufacturing [BS334200]
284,Pharmaceutical and medicine manufacturing [BS325400]
309,Religious organizations [NP813100]
288,Plastic product manufacturing [BS326100]
134,Health and personal care stores [BS446000]
316,Repair construction [BS23D000]
108,Fishing hunting and trapping [BS114000]
200,Newspaper publishers [BS511110]
56,Coal mining [BS212100]
375,Truck transportation [BS484000]
348,Spring and wire product manufacturing [BS332600]
5,Administrative and support services [BS56100]
352,Sugar and confectionery product manufacturing [BS31130]
215,Office administrative services [BS561100]
390,Wholesale trade [BS410000]
275,Personal care services and other personal services [BS812A00]
170,Miscellaneous ambulatory health care services [BS621A00]
12,Agricultural construction and mining machinery manufacturing [BS333100]
324,Retail trade (except cannabis) [BS4AA000]
246,Other general-purpose machinery manufacturing [BS333900]
45,Cannabis production (licensed) [BS111CL0]
152,Legal accounting and architectural engineering [BS541C0]
260,Other provincial and territorial government services [GS912]
220,Oil and gas engineering construction [BS23C200]
331,Scientific research and development services [BS541700]
25,Arts entertainment and recreation [BS71000]
335,Services to buildings and dwellings [BS561700]
154,Legal services [BS541100]
205,Non-metallic mineral product manufacturing [BS327A00]
141,Household and institutional furniture manufacturing [BS337100]
248,Other metal ore mining [BS212290]
162,Management scientific and technical consulting services [BS541600]
320,Residential building construction [BS23A00]
376,Truck transportation [BS48400]
31,Automotive repair and maintenance [BS811100]
379,Urban transit systems [BS485100]
385,Waste management and remediation services [BS562000]
47,Cannabis production (unlicensed) [BS111CU0]
120,Fruit and vegetable preserving [BS31140]
299,Publishing pay/specialty services telecommunications [BS51B00]
43,Business support services [BS561400]
179,Motion picture and sound recording industries [BS51200]
387,Water sewage and other systems [BS221300]
221,Oil and gas engineering construction [BS23C20]
281,Petroleum and coal product manufacturing [BS32400]
18,Animal food manufacturing [BS311100]
113,Food services and drinking places [BS722000]
329,Sand gravel clay and ceramic and refractory minerals mining [BS212320]
332,Seafood product preparation and packaging [BS311700]
60,Communication engineering construction [BS23C400]
137,Heavy-duty truck manufacturing [BS336120]
349,Steel product manufacturing from purchased steel [BS331200]
183,Motor vehicle and parts dealers [BS441000]
233,Other chemical product manufacturing [BS325900]
290,Postal service [BS491000]
34,Basic chemical manufacturing [BS325100]
197,Natural gas distribution [BS221200]
8,Advertising public relations and related services [BS54180]
308,Recreational vehicle (RV) parks recreational camps [BS721A00]
189,Motor vehicle manufacturing [BS336100]
64,Computer and peripheral equipment manufacturing [BS334100]
357,Support activities for mining [BS21311B]
272,Performing arts spectator sports and related industries [BS71A000]
339,Social assistance [BS624000]
147,Insurance carriers [BS524100]
10,Aerospace product and parts manufacturing [BS33640]
229,Other activities of the construction industry [BS23E000]
337,Ship and boat building [BS33660]
392,Wholesale trade [BS410]
172,Miscellaneous food manufacturing [BS311A0]
49,Cannabis stores (unlicensed) [BS453BU0]
235,Other electrical equipment and component manufacturing [BS335900]
361,Support activities for transportation [BS488000]
209,Non-residential building construction [BS23B00]
256,Other professional scientific and technical services [BS541900]
35,Basic chemical manufacturing [BS32510]
161,Machinery manufacturing [BS33300]
204,Non-metallic mineral mining and quarrying [BS21230]
217,Offices of dentists [BS621200]
304,Rail transportation [BS482000]
122,Furniture and home furnishings stores [BS442000]
36,Boiler tank and shipping container manufacturing [BS332400]
169,Mining quarrying and oil and gas extraction [BS210]
